date,"Overall"
1976-01-01,0.6173227554051252
1977-01-01,0.6246849407121529
1978-01-01,0.6335486903397937
1979-01-01,0.6389067697517425
1980-01-01,0.6387381819322477
1981-01-01,0.6404381619135865
1982-01-01,0.6414066744269078
1983-01-01,0.6420596928155548
1984-01-01,0.6453810749434759
1985-01-01,0.6485109871550823
1986-01-01,0.6530763460898441
1987-01-01,0.6562580685652928
1988-01-01,0.6593074815388408
1989-01-01,0.664902972511556
1990-01-01,0.6652765957594259
1991-01-01,0.6620383875693521
1992-01-01,0.6647226376167591
1993-01-01,0.6634509907637133
1994-01-01,0.6665771959922159
1995-01-01,0.6671753105784962
1996-01-01,0.6686749291323857
1997-01-01,0.6720407185081363
1998-01-01,0.6708561005054419
1999-01-01,0.6708332473731856
2000-01-01,0.6707346432786463
2001-01-01,0.6682426155429881
2002-01-01,0.6658238387044899
2003-01-01,0.662436923789642
2004-01-01,0.6599360005830464
2005-01-01,0.6604687212822044
2006-01-01,0.6617912968778896
2007-01-01,0.6603966058173574
2008-01-01,0.6599424953050628
2009-01-01,0.6536957298906646
2010-01-01,0.6470547911422373
2011-01-01,0.6410910620248335
2012-01-01,0.6370104446253892
2013-01-01,0.6324879103818767
2014-01-01,0.6288525836159332
2015-01-01,0.6265132088173304
2016-01-01,0.6278633459592293
2017-01-01,0.6285099962816999
2018-01-01,0.6287075841348095
2019-01-01,0.6309967679496921
2020-01-01,0.6174584168132318
2021-01-01,0.616587826067973
2022-01-01,0.6223623410530962
2023-01-01,0.6260396951544703
2024-01-01,0.625927369984345
